Parameter,Value,State
0,12288,GOOD
1,0,GOOD
2,0,GOOD
3,0,GOOD
4,0,GOOD
5,0,GOOD
6,100,GOOD
7,1,GOOD
8,100,GOOD
9,1,GOOD
10,0,GOOD
11,0,GOOD
12,0,GOOD
13,100,GOOD
14,1,GOOD
15,100,GOOD
16,1,GOOD
17,150,GOOD
18,66,GOOD
19,1,GOOD
20,90,GOOD
21,0,GOOD
22,0,GOOD
23,0,GOOD
24,1,GOOD
25,1697,GOOD
26,8,GOOD
27,180,GOOD
28,1000,GOOD
29,1200,GOOD
30,300,GOOD
31,140,GOOD
32,1000,GOOD
33,3000,GOOD
34,85,GOOD
35,1000,GOOD
36,1000,GOOD
37,900,GOOD
38,20000,GOOD
39,0,GOOD
40,0,GOOD
41,12288,GOOD
42,90,GOOD
43,3000,GOOD
44,7,GOOD
45,1000,GOOD
46,213,GOOD
47,1408,GOOD
48,500,GOOD
49,15000,GOOD
50,25,GOOD
51,450,GOOD
52,35,GOOD
53,100,GOOD
54,7,GOOD
55,20480,GOOD
56,0,GOOD
57,1364,GOOD
58,1000,GOOD
59,0,GOOD
60,0,GOOD
61,0,GOOD
62,0,GOOD
63,0,GOOD
64,0,GOOD
65,0,GOOD
66,0,GOOD
67,100,GOOD
68,0,GOOD
69,2104,GOOD
70,0,GOOD
71,0,GOOD
